[2026-03-11 12:12:33] [INFO    ] discord.client: logging in using static token
[2026-03-11 12:12:33] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-03-11 12:12:33] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-03-11 12:12:33] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1481299697774624949', 'username': 'python_bot', 'avatar': None, 'discriminator': '2109', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-03-11 12:12:33] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-03-11 12:12:33] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-03-11 12:12:33] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1481299697774624949', 'name': 'python_bot', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1481299697774624949', 'username': 'python_bot', 'avatar': None, 'discriminator': '2109', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '2bfb9d208f8fb30857e76053886e835dae8ccc7b0eea8b16bfc23de270292a0b', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1387933751937339475', 'username': 'madi.hauptmann', 'avatar': None, 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'madihauptmann', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-03-11 12:12:33] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-03-11 12:12:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-278b",{"micros":0.0}]']}}
[2026-03-11 12:12:33] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-03-11 12:12:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-03-11 12:12:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'python_bot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1481299697774624949', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '2109', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '964af26ad25d02b7cdb592220bbf7cc0', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1481301185226084516'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-central', 'atlanta', 'us-east', 'newark', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1481299697774624949', 'flags_new': '557056', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-c-278b",{"micros":154733,"calls":["id_created",{"micros":502,"calls":[]},"session_lookup_time",{"micros":306,"calls":[]},"session_lookup_finished",{"micros":12,"calls":[]},"discord-sessions-prd-2-96",{"micros":153536,"calls":["start_session",{"micros":145503,"calls":["discord-api-rpc-8c6bd84c6-lvg7k",{"micros":87758,"calls":["get_user",{"micros":6131},"get_guilds",{"micros":2930},"send_scheduled_deletion_message",{"micros":15},"guild_join_requests",{"micros":778},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":2009},"apex_experiments",{"micros":46607},"sessions_experiments",{"micros":7},"user_activities",{"micros":4},"played_application_ids",{"micros":3},"linked_users",{"micros":3},"ad_personalization_toggles_disabled",{"micros":3},"regional_feature_config",{"micros":12}]}]},"starting_guild_connect",{"micros":31,"calls":[]},"presence_started",{"micros":1169,"calls":[]},"guilds_started",{"micros":68,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":6696,"calls":[]},"connect_finished",{"micros":6710,"calls":[]},"build_ready",{"micros":13,"calls":[]},"clean_ready",{"micros":2,"calls":[]},"optimize_ready",{"micros":37,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2026-03-11 12:12:34] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-03-11 12:12:34] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 964af26ad25d02b7cdb592220bbf7cc0).
[2026-03-11 12:12:34] [DEBUG   ] discord.client: Dispatching event connect
[2026-03-11 12:12:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'system_channel_flags': 0, 'embedded_activities': [], 'member_count': 2, 'premium_progress_bar_enabled': False, 'members': [{'user': {'username': 'python_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1481299697774624949', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '2109', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1481301380365942807'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-11T14:42:50.409504+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'application_command_counts': {}, 'profile': None, 'explicit_content_filter': 0, 'home_header': None, 'joined_at': '2026-03-11T14:42:50.409504+00:00', 'premium_features': None, 'id': '1481301185226084516', 'application_id': None, 'premium_subscription_count': 0, 'presences': [], 'verification_level': 0, 'name': 'Python Bot Test Server', 'unavailable': False, 'activity_instances': [], 'system_channel_id': '1481301186266267681', 'inventory_settings': None, 'rules_channel_id': None, 'channels': [{'version': 1773240124056, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1481301186266267679', 'flags': 0}, {'version': 1773240124060, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1481301186266267680', 'flags': 0}, {'version': 1773240124070, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1481301186266267679', 'name': 'general', 'last_message_id': '1481323647997186109', 'id': '1481301186266267681', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1773240124083, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1481301186266267680', 'name': 'General', 'last_message_id': None, 'id': '1481301186266267682', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'afk_timeout': 300, 'stage_instances': [], 'threads': [], 'max_video_channel_users': 25, 'preferred_locale': 'en-US', 'guild_scheduled_events': [], 'hub_type': None, 'icon': None, 'discovery_splash': None, 'splash': None, 'latest_onboarding_question_id': None, 'max_stage_video_channel_users': 50, 'banner': None, 'default_message_notifications': 0, 'max_members': 25000000, 'lazy': True, 'description': '', 'features': [], 'owner_configured_content_level': 0, 'safety_alerts_channel_id': None, 'stickers': [], 'voice_states': [], 'afk_channel_id': None, 'public_updates_channel_id': None, 'roles': [{'version': 1773240124047, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1481301185226084516', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1773245373261, 'unicode_emoji': None, 'tags': {'bot_id': '1481299697774624949'}, 'position': 2, 'permissions': '563242280021056', 'name': 'python_bot', 'mentionable': False, 'managed': True, 'id': '1481301380365942807', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1773241250468, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'Premium Member', 'mentionable': True, 'managed': False, 'id': '1481305618794024990', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15844367}, 'color': 15844367}], 'nsfw_level': 0, 'nsfw': False, 'moderator_reporting': None, 'vanity_url_code': None, 'premium_progress_bar_enabled_user_updated_at': None, 'emojis': [], 'owner_id': '1387933751937339475', 'large': False, 'incidents_data': None, 'version': 1773245422705, 'mfa_level': 0, 'region': 'deprecated', 'premium_tier': 0, 'soundboard_sounds': []}}
[2026-03-11 12:12:34] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-03-11 12:12:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'd4ddf2fe5f91e963d7b751576c5ed47e', 'members': [{'user': {'username': 'madi.hauptmann', 'public_flags': 0, 'primary_guild': None, 'id': '1387933751937339475', 'global_name': 'madihauptmann', 'display_name_styles': None, 'display_name': 'madihauptmann', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1481305618794024990'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-11T14:42:03.948000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'python_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1481299697774624949', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '2109', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1481301380365942807'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-11T14:42:50.409504+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1481301185226084516', 'chunk_index': 0, 'chunk_count': 1}}
[2026-03-11 12:12:34] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-03-11 12:12:34] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1481301185226084516.
[2026-03-11 12:12:36] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-03-11 12:12:36] [DEBUG   ] discord.client: Dispatching event ready
